,lon,lat,address
162,-76.64854,39.2661,"2410 tolley st, baltimore, md 21230, usa"
163,-76.59198,39.30795,"1503 n durham st, baltimore, md 21213, usa"
164,-76.61082,39.29308,"e saratoga st & holliday st, baltimore, md 21202, usa"
165,-76.60728,39.28971,"power plant live!, 4 market pl, baltimore, md 21202, usa"
166,-76.61977,39.29494,"us-40 & n howard st, baltimore, md 21201, usa"
167,-76.64286,39.30216,"1139 n gilmor st, baltimore, md 21217, usa"
168,-76.6337,39.27727,"w hamburg st & bayard st, baltimore, md 21230, usa"
169,-76.6168,39.29235,"n liberty st & clay st, baltimore, md 21201, usa"
170,-76.63874,39.28828,"1317 w baltimore st, baltimore, md 21223, usa"
171,-76.61764,39.29397,"115 w mulberry st, baltimore, md 21201, usa"
